000101/3755,Patrik,Doležal,2000-01-01
000101/4525,Igor,Švec,2000-01-01
000101/5561,Klaudia,Červeňová,2000-01-01
000101/8153,Mária,Blaškoová,2000-01-01
000101/8538,Patrik,Holub,2000-01-01
000102/7404,Kristína,Szabóová,2000-01-02
000102/7920,Martina,Poláková,2000-01-02
000103/1943,Michal,Král,2000-01-03
000103/3045,Michaela,Chovanecová,2000-01-03
000103/4189,Tamara,Kissová,2000-01-03
000104/0864,Lenka,Balážová,2000-01-04
000104/1296,Sabina,Černáková,2000-01-04
000104/3850,Pavol,Polák,2000-01-04
000104/5736,Petra,Horváthová,2000-01-04
000104/6620,Soňa,Szabóová,2000-01-04
000104/6983,Dominik,Tóth,2000-01-04
000104/9327,Vladimír,Polák,2000-01-04
000105/3526,Ela,Farkašová,2000-01-05
000105/4633,Martin,Dudáš,2000-01-05
000105/9066,René,Král,2000-01-05
000105/9792,Viktor,Blaško,2000-01-05
000106/0549,Marek,Gregor,2000-01-06
000106/3589,Petra,Dudášová,2000-01-06
000106/9512,Adrián,Hollý,2000-01-06
000106/9598,Martin,Novák,2000-01-06
000106/9793,Stanislav,Tóth,2000-01-06
000107/2101,Lýdia,Kadlecová,2000-01-07
000107/2583,Martin,Baláž,2000-01-07
000107/4392,Žaneta,Farkašová,2000-01-07
000107/5020,Ivana,Holubová,2000-01-07
000107/5652,Radovan,Hruška,2000-01-07
000107/7302,Karolína,Šimuneková,2000-01-07
000107/8005,Erik,Chovanec,2000-01-07
000107/8526,Dominik,Kováčik,2000-01-07
000108/2117,Milan,Novák,2000-01-08
000108/2738,Laura,Holubová,2000-01-08
000108/3061,Ján,Hudec,2000-01-08
000108/4218,Nina,Urbanová,2000-01-08
000108/8515,Pavol,Hollý,2000-01-08
000108/9151,Lenka,Šimkoová,2000-01-08
000109/1236,Viktória,Kubišová,2000-01-09
000109/3094,Roman,Červeň,2000-01-09
000109/4703,Erik,Szabó,2000-01-09
000109/5585,Lukáš,Šimko,2000-01-09
000110/1124,René,Šimunek,2000-01-10
000110/6761,Tibor,Kubiš,2000-01-10
000110/8167,Tatiana,Kadlecová,2000-01-10
000111/4602,Diana,Kadlecová,2000-01-11
000111/5225,Igor,Krajčí,2000-01-11
000111/5375,Lenka,Vlachová,2000-01-11
000111/6377,Rastislav,Kováčik,2000-01-11
000111/7515,Nina,Bartošová,2000-01-11
000111/8034,Katarína,Švecová,2000-01-11
000111/8654,Štefan,Šimunek,2000-01-11
000111/9727,Gabriela,Kováčová,2000-01-11
000112/2953,Ján,Doležal,2000-01-12
000112/4875,Marián,Kubiš,2000-01-12
000112/8200,Rastislav,Mach,2000-01-12
000113/0695,Radovan,Moravčík,2000-01-13
000113/2661,Diana,Balážová,2000-01-13
000113/5233,Pavol,Vlach,2000-01-13
000113/6225,Juraj,Šimunek,2000-01-13
000114/0976,Samuel,Moravčík,2000-01-14
000114/4879,Nina,Szabóová,2000-01-14
000115/3157,Dušan,Kiss,2000-01-15
000115/6815,Richard,Žiak,2000-01-15
000115/7621,Michaela,Poláková,2000-01-15
000116/7449,Marek,Szabó,2000-01-16
000116/9089,Anna,Vlachová,2000-01-16
000116/9532,Lenka,Šimkoová,2000-01-16
000116/9762,Filip,Pekár,2000-01-16
000117/3430,Andrea,Szabóová,2000-01-17
000117/3545,Peter,Kubiš,2000-01-17
000117/3983,Martina,Szabóová,2000-01-17
000117/4093,Ivana,Benkoová,2000-01-17
000117/4364,Andrea,Krnáčová,2000-01-17
000117/4460,Filip,Kiss,2000-01-17
000118/8327,Gabriel,Urban,2000-01-18
000118/9833,Katarína,Benkoová,2000-01-18
000118/9913,Laura,Doležalová,2000-01-18
000118/9915,Sabina,Šimkoová,2000-01-18
000119/1054,Gabriela,Vargaová,2000-01-19
000119/1384,Vladimír,Červeň,2000-01-19
000119/4529,Karol,Farkaš,2000-01-19
000119/5106,Zuzana,Hudecová,2000-01-19
000119/9356,Laura,Blaškoová,2000-01-19
000120/0635,Rastislav,Šimunek,2000-01-20
000120/0689,Barbora,Szabóová,2000-01-20
000120/0698,Kristína,Pašeková,2000-01-20
000120/2776,Marián,Černák,2000-01-20
000120/4440,Adrián,Moravčík,2000-01-20
000120/4678,Milan,Hollý,2000-01-20
000120/8047,Veronika,Kováčová,2000-01-20
000120/8565,Marek,Šimunek,2000-01-20
000121/2293,Zuzana,Urbanová,2000-01-21
000121/2474,Lucia,Krajčíová,2000-01-21
000121/3337,Juraj,Kiss,2000-01-21
000121/4341,Dominika,Balážová,2000-01-21
000121/9095,Tatiana,Krajčíová,2000-01-21
000122/1377,Adriana,Pekárová,2000-01-22
000122/2406,Milan,Švec,2000-01-22
000122/2983,Juraj,Kováč,2000-01-22
000122/3009,Jana,Krajčíová,2000-01-22
000122/3017,Ján,Blaško,2000-01-22
000122/4592,Roman,Holub,2000-01-22
000122/7501,Laura,Machová,2000-01-22
000123/1928,Sabina,Krnáčová,2000-01-23
000123/3149,Karol,Varga,2000-01-23
000123/3638,Martina,Moravčíková,2000-01-23
000123/4339,Blažena,Krajčíová,2000-01-23
000123/4409,Adrián,Benko,2000-01-23
000123/5093,Peter,Vlach,2000-01-23
000123/7544,Igor,Szabó,2000-01-23
000123/8736,Jana,Šimuneková,2000-01-23
000123/9909,Lukáš,Hollý,2000-01-23
000124/1034,Marián,Varga,2000-01-24
000124/3003,Tibor,Kováčik,2000-01-24
000124/3854,Radovan,Polák,2000-01-24
000124/5128,Eva,Kováčiková,2000-01-24
000124/6921,Marek,Doležal,2000-01-24
000124/8817,Jozef,Král,2000-01-24
000125/0677,Kristína,Vlachová,2000-01-25
000125/2004,Dušan,Szabó,2000-01-25
000125/2471,Zuzana,Vargaová,2000-01-25
000125/2488,Veronika,Machová,2000-01-25
000125/3721,Igor,Blaško,2000-01-25
000125/3976,Igor,Mach,2000-01-25
000125/5000,Mária,Pašeková,2000-01-25
000125/5011,Karol,Tóth,2000-01-25
000125/8679,Petra,Moravčíková,2000-01-25
000125/9484,Boris,Šimko,2000-01-25
000126/0975,Juraj,Holub,2000-01-26
000126/5411,Eva,Pašeková,2000-01-26
000126/6606,Karol,Holub,2000-01-26
000127/1385,Blažena,Pašeková,2000-01-27
000127/1454,Andrea,Gregorová,2000-01-27
000127/3088,Karol,Červeň,2000-01-27
000127/3402,Diana,Mareková,2000-01-27
000127/4092,Dominika,Šimuneková,2000-01-27
000127/4887,René,Krnáč,2000-01-27
000127/5011,Pavol,Hudec,2000-01-27
000127/5126,Mária,Benkoová,2000-01-27
000127/8281,Róbert,Benko,2000-01-27
000128/1175,Jana,Mareková,2000-01-28
000128/1934,Boris,Urban,2000-01-28
000128/4245,Gabriela,Pašeková,2000-01-28
000128/4491,Klaudia,Vargaová,2000-01-28
000128/4767,Róbert,Varga,2000-01-28
000128/7016,Tibor,Švec,2000-01-28
000129/2494,Igor,Szabó,2000-01-29
000129/2747,Mária,Blaškoová,2000-01-29
000129/5511,Eva,Pašeková,2000-01-29
000129/8531,Ela,Krnáčová,2000-01-29
000129/8737,Rastislav,Kováč,2000-01-29
000130/2625,Kristína,Doležalová,2000-01-30
000130/3838,Sabina,Gregorová,2000-01-30
000130/6502,Radovan,Szabó,2000-01-30
000130/8462,Tibor,Doležal,2000-01-30
000130/8809,Jana,Horváthová,2000-01-30
000131/2209,Diana,Pašeková,2000-01-31
000201/1942,Viktor,Szabó,2000-02-01
000201/2341,Dušan,Benko,2000-02-01
000201/2923,Peter,Vlach,2000-02-01
000201/2941,Petra,Farkašová,2000-02-01
000201/6012,Ivana,Moravčíková,2000-02-01
000201/8288,Stanislav,Baláž,2000-02-01
000202/3732,Jana,Šimkoová,2000-02-02
000202/4530,Bianka,Červeňová,2000-02-02
000202/4550,Adriana,Černáková,2000-02-02
000202/6007,Ján,Mach,2000-02-02
000202/8457,Katarína,Chovanecová,2000-02-02
000202/9735,Ema,Vlachová,2000-02-02
000202/9781,Gabriel,Farkaš,2000-02-02
000203/1728,René,Doležal,2000-02-03
000203/2332,Martina,Žiaková,2000-02-03
000203/4938,Lýdia,Machová,2000-02-03
000203/5247,Adriana,Hollýová,2000-02-03
000203/5536,Adriana,Kubišová,2000-02-03
000203/7148,Veronika,Černáková,2000-02-03
000203/9980,Andrea,Vargaová,2000-02-03
000204/1371,Gabriel,Hollý,2000-02-04
000204/2717,Daniel,Kováčik,2000-02-04
000204/3623,Milan,Holub,2000-02-04
000204/3670,Milan,Vlach,2000-02-04
000204/3896,Kristína,Mareková,2000-02-04
000204/4380,Ela,Moravčíková,2000-02-04
000204/4801,Mária,Doležalová,2000-02-04
000204/6647,Radovan,Kováč,2000-02-04
000204/8358,Petra,Doležalová,2000-02-04
000204/9634,Štefan,Polák,2000-02-04
000205/0276,Pavol,Švec,2000-02-05
000205/0383,Richard,Hudec,2000-02-05
000205/3863,René,Černák,2000-02-05
000205/6148,Stanislav,Vlach,2000-02-05
000205/6430,Milan,Žiak,2000-02-05
000206/1892,Adriana,Šimkoová,2000-02-06
000206/4703,Karol,Pašek,2000-02-06
000206/4911,Žaneta,Králová,2000-02-06
000206/4989,Michal,Červeň,2000-02-06
000206/5507,Adriana,Gregorová,2000-02-06
000206/6280,Michal,Gregor,2000-02-06
000206/9075,Richard,Baláž,2000-02-06
000207/2246,Veronika,Balážová,2000-02-07
000207/3259,Ivana,Chovanecová,2000-02-07
000207/3383,Marek,Šimko,2000-02-07
000207/4934,Štefan,Hruška,2000-02-07
000207/7333,Tomáš,Varga,2000-02-07
000207/7413,Stanislav,Polák,2000-02-07
000207/7800,Tatiana,Hudecová,2000-02-07
000207/8638,Mária,Kováčová,2000-02-07
000208/0257,Karolína,Tóthová,2000-02-08
000208/3024,Tomáš,Urban,2000-02-08
000208/5340,Natália,Machová,2000-02-08
